AmountOfPlay,AuthorID,Collection,Comment,CreationDate,Forwarding,Labels,NumberOfSongs,SongListName,SongsListID,Url
4213814,97412802,84482,297,2018-07-16,1277,古典 钢琴 器乐 ,154,论钢琴的交响性：管弦乐名作及其钢琴改编,2317199475,https://music.163.com/playlist?id=2317199475
7169844,56164382,170440,1008,2015-04-12,1415,ACG 日语 经典 ,364,百首必备ACG/日系良曲精选集(普及向),65321097,https://music.163.com/playlist?id=65321097
337863,2092447195,6121,155,2023-12-22,106,流行 伤感 夜晚 ,40,泪失尽的那一刻 我也无能为力,9090022511,https://music.163.com/playlist?id=9090022511
13775553,583471,343373,1215,2013-12-20,9603,轻音乐 安静 放松 ,123,［自然纪］生命之律｜大自然的语言,7005467,https://music.163.com/playlist?id=7005467
3600111,129153895,38909,403,2017-05-17,872,小语种 流行 快乐 ,39,狂想.奔放.动感.突然想学西语了！✌️,730705552,https://music.163.com/playlist?id=730705552
257076,374024623,2779,12,2021-07-11,166,摇滚 孤独 电子 ,248,氛围后摇 | 被孤立的鲸 偶遇坠入海底的星,6852909267,https://music.163.com/playlist?id=6852909267
7173309,430629389,83069,176,2023-03-16,1147,欧美 说唱 兴奋 ,136,欧美优质hiphop 顶级唱腔和丝滑flow,8236726038,https://music.163.com/playlist?id=8236726038
3494146,520621,36456,464,2016-04-21,810,欧美 摇滚 朋克 ,30,45度角仰望天空才是听朋克的正确姿势,367179654,https://music.163.com/playlist?id=367179654
5506368,1543917791,38790,136,2020-07-11,452,华语 说唱 R&B/Soul ,138,最怕rapper唱情歌｜旋律说唱｜嘻哈｜,5106270428,https://music.163.com/playlist?id=5106270428
411581,614517058,7065,31,2022-07-03,60,日语 流行 治愈 ,107,超棒的日系组合｜夜鹿 YOASOBI 真夜中,7519341475,https://music.163.com/playlist?id=7519341475
143340,125139775,2812,37,2021-01-01,77,治愈 钢琴 夜晚 ,79,时空储蓄罐 -「钢琴全集」| 学习 • 静心,5438576528,https://music.163.com/playlist?id=5438576528
5669694,254791571,89243,474,2021-09-11,909,日语 ACG 流行 ,227,日语‖那些听着都忍不住唱起来的歌曲,6964362443,https://music.163.com/playlist?id=6964362443
10806568,12115399,155544,919,2015-01-16,1853,说唱 欧美 90后 ,31,冲击耳膜！欧美说唱最强音,46917435,https://music.163.com/playlist?id=46917435
27727246,256834399,324142,2368,2018-04-10,4562,华语 摇滚 ,385,『国摇』一百支乐队一百种精神信仰,2179431622,https://music.163.com/playlist?id=2179431622
1492160,342371680,8332,40,2023-07-09,104,流行 快乐 清新 ,130,夏日多巴胺快乐氛围曲•欢快旋律,8542903484,https://music.163.com/playlist?id=8542903484
2539471,97515301,36565,43,2023-05-12,455,欧美 夜晚 放松 ,166,高级感chill｜慵懒放松 卧室暧昧氛围,8413001593,https://music.163.com/playlist?id=8413001593
574562,342371680,7923,22,2023-12-18,129,电子 夜晚 放松 ,113,松弛chill-hiphop 随性慵懒 高级背景音乐,8946262713,https://music.163.com/playlist?id=8946262713
4356981,33210355,85876,819,2015-06-21,1893,说唱 欧美 经典 ,255,257位西海岸说唱歌手精选,83105064,https://music.163.com/playlist?id=83105064
3073360,311877725,51570,420,2017-07-17,1110,欧美 影视原声 经典 ,85,呼喊与细语，欧美古典电影精选,813645724,https://music.163.com/playlist?id=813645724
